,time,id,numOfCompanies,numOfMedicals,numOfSupermarkets,numOfRestaurants,numOfEntertainments,numOfLuxuries,turnOver,taxes,nettoProfit,subsidiaries,capital,happiness,governmentCapital
0,2019-02-01,0,4,1,1,0,1,1,3610.469484323079,242.09025585485452,3304.8368115623384,0.0,11374.512006724155,39.29257964062382,1247.5648481497947
1,2019-02-01,1,4,1,0,1,0,2,2516.5561990940123,183.31157988481024,2229.3842529461967,0.0,7957.871124346516,39.29257964062382,1247.5648481497947
2,2019-02-01,2,4,2,1,1,0,0,2668.1498893835987,194.61722599848446,2441.4844334771483,0.0,9392.099647708737,39.29257964062382,1247.5648481497947
3,2019-02-01,3,4,1,1,1,0,1,3819.994754305629,174.36848114878418,3560.628771675761,0.0,9009.643807575269,39.29257964062382,1247.5648481497947
4,2019-02-01,4,4,0,0,1,1,2,4061.264438104233,233.94473971031715,3726.4059924643543,0.0,11524.563982808259,39.29257964062382,1247.5648481497947
5,2019-02-01,5,4,0,0,1,0,3,3481.6806966699064,219.23256555254397,3115.7695609792077,0.0,10945.504044998637,39.29257964062382,1247.5648481497947
6,2019-03-01,0,4,1,1,0,1,1,3410.6352841776525,200.70451459258945,3146.3883526791774,0.0,9418.404433697597,39.29257964062382,2447.417487298131
7,2019-03-01,1,4,1,0,1,0,2,3116.755857295125,136.00658299709409,2876.888908035025,0.0,7127.0946266942165,39.29257964062382,2447.417487298131
8,2019-03-01,2,4,2,1,1,0,0,2326.168261620916,200.19978302417587,2093.9202486887743,0.0,8350.16346819427,39.29257964062382,2447.417487298131
9,2019-03-01,3,4,1,1,1,0,1,3320.85731652678,163.4912150404819,3072.368600005213,0.0,8911.34056573671,39.29257964062382,2447.417487298131
10,2019-03-01,4,4,0,0,1,1,2,4305.664251002615,302.2793991776022,3902.471145895452,0.0,14698.16397366696,39.29257964062382,2447.417487298131
11,2019-03-01,5,4,0,0,1,0,3,3269.15724812396,197.17114431639266,2925.307533669413,0.0,9967.134116397725,39.29257964062382,2447.417487298131
12,2019-04-01,0,4,1,1,0,1,1,3619.3044069624957,253.49840721994698,3302.2635828366633,0.0,10758.099089305691,39.29257964062382,3692.415786325327
13,2019-04-01,1,4,1,0,1,0,2,2878.855850348961,167.35064909984888,2607.6448349861066,0.0,6791.411062482329,39.29257964062382,3692.415786325327
14,2019-04-01,2,4,2,1,1,0,0,2200.64150533298,113.326792367864,2055.2664830571493,0.0,5388.407435053148,39.29257964062382,3692.415786325327
15,2019-04-01,3,4,1,1,1,0,1,4541.726316146041,175.9414494299011,4280.7873652350545,0.0,10564.410559160091,39.29257964062382,3692.415786325327
16,2019-04-01,4,4,0,0,1,1,2,3992.314337641874,340.5844650884385,3550.8161666238752,0.0,14194.080700637576,39.29257964062382,3692.415786325327
17,2019-04-01,5,4,0,0,1,0,3,3268.0616096426947,194.29653582119442,2927.086503683346,0.0,8998.853248095671,39.29257964062382,3692.415786325327
18,2019-05-01,0,4,1,1,0,1,1,3431.601868873809,224.70195074698285,3143.3575012209394,0.0,11168.42717075604,39.29257964062382,4865.876466262962
